Y,X,Id,Type,Descript,URL
26.5308133449872,-78.6914125227808,0,,Christ the King,
26.5210205714355,-78.6694668732658,0,,Church of God of Prophecy,
26.5300706711311,-78.6757539769558,0,,Central Church of God,
26.5214562374607,-78.6731657277432,0,,Seventh Day Adventist,
26.5174249800053,-78.6721868369158,0,,St.Paul's Methodist Church,
26.5241076217681,-78.6531769772922,0,,Calvary Bible Church,
26.5278072285935,-78.6752145714007,0,,St.John's Native Baptist Church,
26.5171436681634,-78.6893581305533,0,,Mary Star of the Sea,
26.5409691694061,-78.6656628296946,0,,St.John's Jubilee Cathedral,
26.5232372074341,-78.6631664574823,0,,Zion Baptist Church,
26.5271493999042,-78.6988074977692,0,,Grand Bahama Family Worship Center,
26.5170065152915,-78.680545913991,0,,Our Savior Lutheran Church,
26.5401684245488,-78.6858383853113,0,,Tabernacle Independant Church,
26.5443997885091,-78.6498665115027,0,,Church of God Fairfeild,
26.5259658089365,-78.6991691264096,0,,The Salvation Army Worship Centre,
26.5371258364926,-78.6864905491266,0,,Calvary Temple,
26.5373217994299,-78.7026697979454,0,,Church of God Temple,
26.5290826117355,-78.6923518207117,0,,Candlestick Ministries International,
26.5293115356687,-78.6967851820297,0,,Rev Rudy Roberts International Faith Ministries,
26.5191733729233,-78.7015510345901,0,,First Providence Baptist Church,
26.5139019604464,-78.6873983290146,0,,Church Of Christ,
26.5325614706318,-78.6847375764194,0,,First Baptist Church,
26.5170173410496,-78.6812244275713,0,,Freeport Hebrew Congregation,
26.5349004145059,-78.6555408767762,0,,Freeport Gospel Chapel,
26.5524243637828,-78.5901684399603,0,,Living Water Assembly of God,
26.5523724974809,-78.5922013981005,0,,Lucayan Bible Church,
26.5263720902479,-78.6732700433939,0,,Eternal Light Deliverane Center,
26.5243137300815,-78.6305255702352,0,,Church of Ascension,
26.5178863362951,-78.6796236026712,0,,Higher Anionted Ministries,
26.5259404761855,-78.6395138440481,0,,New Cannon Baptist Church,
26.5339127736723,-78.6491746913138,0,,Sub yeoman wood-Block D-,
26.5418884793387,-78.6409411870181,0,,Fellowship Union Baptist,
26.5108246359418,-78.7352464923682,0,,Universal Household of Faith Ministries,
26.5151018367237,-78.7401393998504,0,,Emmanuel Missionary Baptist Church,
26.5177202579095,-78.732812929098,0,,Mount Gilead (union) baptist Church,
26.5402902252878,-78.6803566552127,0,,Cummings Temple AMEChurch,
26.5393037311695,-78.7061048607349,0,,Agape House,
26.5319377220716,-78.6863502119629,0,,Shekinah Christian Ministries International,
26.5223318793302,-78.6901884027966,0,,Alpha Evangelical Church,
26.5367793080486,-78.6432045250097,0,,Unity in Christ Assembly,
26.5395054854796,-78.6849536102454,0,,Hudson Estate (track B),
26.5311999108817,-78.689914995567,0,,East Section (Tract B),
26.50589054916,-78.6906183938877,0,,Life Community Church,
26.51558810153,-78.6931578215265,0,,Mormon,
