Y,X,OBJECTID,Bus_Bay,Shelter,ST_NAME,Region
26.5155881834847,-78.6488534024495,1,,,Midshipman Rd,Lucaya
26.5179280034021,-78.6436462137801,2,,,Midshipman Rd,Lucaya
26.5199527927619,-78.6378415627281,3,,,Midshipman Rd,Lucaya
26.5482980851793,-78.5847612831189,4,,,Midshipman Rd,Lucaya
26.5414999568994,-78.5984171442402,5,,,Midshipman Rd,Lucaya
26.5375153776948,-78.6031838402804,6,,,Midshipman Rd,Lucaya
26.5318923657559,-78.6153553855727,7,,,Midshipman Rd,Lucaya
26.5184948945843,-78.6413126681582,8,,,Midshipman Rd,Lucaya
26.5154929675206,-78.6496233001891,9,Yes,Yes,Seahorse Rd,Lucaya
26.5119256582003,-78.6462768131797,10,,,Seahorse Rd,Lucaya
26.5205417734336,-78.6555732140064,11,Yes,Yes,Seahorse Rd,Lucaya
26.5211693428782,-78.656629037226,12,Yes,Yes,Seahorse Rd,Lucaya
26.5146542997401,-78.648676974878,13,,,Seahorse Rd,Lucaya
26.529850483135,-78.6932618915827,14,Yes,Yes,The Mall Dr,Freeport
26.5260181408819,-78.6932835125183,15,Yes,Yes,The Mall Dr,Freeport
26.5171912391702,-78.694337737818,16,Yes,Yes,Sunrise Hwy,Freeport
26.516985095382,-78.6931101994864,17,Yes,,Sunrise Hwy,Freeport
26.5160869949751,-78.6875017210881,18,Yes,,Sunrise Hwy,Freeport
26.5158400055396,-78.6879691152392,19,Yes,,Sunrise Hwy,Freeport
26.5164811611901,-78.6833398609627,20,Yes,Yes,Sunrise Hwy,Freeport
26.5167575859329,-78.6827496281005,21,Yes,Yes,Sunrise Hwy,Freeport
26.5167606002874,-78.6784764059075,22,Yes,Yes,Sunrise Hwy,Freeport
26.5164854722456,-78.6786810774169,23,Yes,Yes,Sunrise Hwy,Freeport
26.5164935322595,-78.672999869388,24,Yes,Yes,Sunrise Hwy,Freeport
26.5170935323683,-78.671955406168,25,Yes,Yes,Sunrise Hwy,Freeport
26.5185063414146,-78.6688782034342,26,Yes,,Sunrise Hwy,Freeport
26.519041227014,-78.6679424363451,27,,,Sunrise Hwy,Freeport
26.5216268188339,-78.6639827791741,28,Yes,Yes,Sunrise Hwy,Freeport
26.5318684928674,-78.6965781104908,29,,,Downtown,Freeport
26.5273960971244,-78.6935935939445,30,Yes,Yes,The Mall Dr,Freeport
26.519271079957,-78.6949592912702,33,Yes,,The Mall Dr,Freeport
26.5201199713247,-78.6665166672132,34,,,Sunrise Hwy,Freeport
26.5212722655093,-78.6639695315574,35,Yes,Yes,Sunrise Hwy,Freeport
26.5425154300506,-78.7018926537288,36,Yes,,Yellow Pine St,Freeport
26.5372993357793,-78.7143943834364,37,,,Queens Hwy,Freeport
26.5417131069924,-78.7013342780977,38,Yes,,Yellow Pine St,Freeport
26.5389739212347,-78.6926037863547,39,Yes,,Settlers Wy,Freeport
26.5316553042105,-78.6918954822793,40,,,E Atlantic Dr,Freeport
26.5279699913529,-78.6750325198627,41,Yes,,Coral Rd,Freeport
26.5400750652009,-78.6798277969736,42,Yes,,Settlers Wy,Freeport
26.5408838122172,-78.707482940567,43,,,Queens Hwy,Freeport
26.5172162102568,-78.701745929039,44,Yes,,Sunrise Hwy,Freeport
26.5317249309438,-78.6575991222268,45,Yes,Yes,Sergeant Major Dr,Lucaya
26.5292635852439,-78.6822730149319,46,Yes,Yes,Pioneers Way,Freeport
26.5341224580913,-78.6951872586655,47,Yes,Yes,Explorers Wy,Freeport
26.5195425651388,-78.6925379947228,48,,,E Atlantic Dr,Freeport
26.5369353297914,-78.6788341832102,49,,,Coral Rd,Freeport
26.5304809605068,-78.6767310998987,50,,,Coral Rd,Freeport
26.5273489503555,-78.6742489029854,51,,,Coral Rd,Freeport
26.5179276370322,-78.6789575827851,52,,,Somerville Dr,Freeport
26.5264864437271,-78.6861208296813,53,,,Adventurers Wy,Freeport
26.526618407135,-78.6861830391673,54,,,Adventurers Wy,Freeport
26.5264897112681,-78.6843141342322,55,,,Adventurers Wy,Freeport
26.5225742225374,-78.6905483647715,56,,,Poinciana Dr,Freeport
26.5072863106333,-78.6911697121781,57,,,Polaris Dr,Freeport
26.5005864834152,-78.691179805466,58,,,Polaris Dr,Freeport
26.5165702262068,-78.6665652542152,62,,,Coral Rd,Freeport
26.513790172034,-78.6635980082452,63,,,Coral Rd,Freeport
26.5114100384449,-78.66103992708,64,,,Coral Rd,Freeport
26.5093972019127,-78.6588973155653,65,,,Coral Rd,Freeport
26.5424413462653,-78.703461507123,66,,,Queens Hwy,Freeport
26.5391132124162,-78.7108625652775,67,,,Queens Hwy,Freeport
26.500737687085,-78.7356584089605,68,,,Grand Bahamian Wy,Freeport
26.5164297065561,-78.7332813378909,69,Yes,Yes,Grand Bahamian Wy,Freeport
26.517238862948,-78.7142457066685,70,,,Sunrise Hwy,Freeport
