OBJECTID,AREA,BUILDIN_ID,Shape_Leng,Shape_Area
12035,0,0,61.2522032523,184.791747992
12036,0,0,44.0990033802,112.138211997
12037,0,0,39.0821303604,80.1156774991
12038,0,0,56.6827445558,139.142185001
12039,0,0,71.7579722303,267.742823
12040,0,0,52.1265135145,141.646271001
12041,0,0,44.8104899298,116.178140498
12042,0,0,26.1842715303,39.8048434985
12043,0,0,68.6113444483,236.295784494
12044,0,0,36.4803435514,72.5086789999
12045,0,0,40.6103111592,102.9838
12046,0,0,46.1944849648,121.479352002
12047,0,0,123.063224011,356.11288249
12048,0,0,24.0734054948,36.0919950005
12049,0,0,38.8597173946,92.3725579967
12050,0,0,48.476089894,131.571616497
12051,0,0,85.568514797,391.077315496
12052,0,0,46.3570009922,109.780472496
12053,0,0,41.2032895341,99.3030859991
12054,0,0,39.2207158226,88.9994554996
12055,0,0,39.5814798043,83.1494400003
12056,0,0,45.7149226043,109.403309999
12057,0,0,31.6957976494,59.270768995
12058,0,0,32.1940553224,58.3233854998
12059,0,0,50.49527506,153.168677499
12060,0,0,61.6996287367,195.988270004
12061,0,0,32.4286677606,64.4848095
12062,0,0,64.2519845898,209.331552504
12063,0,0,42.9653569102,104.598785498
12064,0,0,45.5453365007,118.985850997
12065,0,0,54.4955464903,126.845043501
12066,0,0,32.1213063909,63.2293390006
12067,0,0,34.890955689,76.0262295006
12068,0,0,31.0388582912,56.369483
12069,0,0,55.5122498565,179.598208003
12070,0,0,76.0304127678,271.349542008
12071,0,0,31.512928973,61.3180804999
12072,0,0,31.4509062017,60.8417420022
12073,0,0,31.7475977779,62.2902570036
12074,0,0,31.5145935196,61.1499624986
12075,0,0,38.0068475385,87.0686535005
12076,0,0,50.6187947206,122.668077504
12077,0,0,63.4687803614,231.660831996
12078,0,0,54.8572165981,174.038061999
12079,0,0,66.6699910107,183.514209499
12080,0,0,42.3901450447,85.2370964968
12081,0,0,71.193122715,272.442399999
12082,0,0,27.196618395,45.9432810006
12083,0,0,35.0232566753,73.2095394958
12084,0,0,33.745895068,63.088678502
12085,0,0,36.9432517728,84.8720079979
12086,0,0,43.7830541501,112.7761775
12087,0,0,37.0374314707,73.5472799985
12088,0,0,56.0826310366,149.921939998
12089,0,0,96.1934072463,276.078277002
12090,0,0,36.4502688654,78.6134539985
12091,0,0,35.92274535,70.0445529993
12092,0,0,75.1433810363,285.438864499
12093,0,0,36.5474574641,68.8169700013
12094,0,0,39.795352244,86.170132002
12095,0,0,31.4668658087,60.4275244985
12096,0,0,45.3711226846,101.420116
12097,0,0,39.980580583,80.3420564988
12098,0,0,69.7051914612,208.151771001
12099,0,0,18.6583852019,21.7446759982
12100,0,0,19.3339335981,23.3623959986
12101,0,0,19.0883601337,22.7455530013
12102,0,0,20.0923486078,25.2312300015
12103,0,0,23.7999793591,28.5730340001
12104,0,0,18.5019576259,21.3565990013
12105,0,0,19.1810099016,22.967435
12106,0,0,18.2004313186,20.6656050014
12107,0,0,18.521203019,21.435232002
12108,0,0,19.2110550771,23.0661389999
12109,0,0,84.1619092882,243.958520502
12110,0,0,27.8983506922,44.0809164999
12111,0,0,36.6901881733,84.0111719985
12112,0,0,78.0118774779,242.569455002
12113,0,0,49.306248045,127.574782505
12114,0,0,49.1989373992,128.134272001
