OBJECTID,LENGTH,PREFIX,ST_NAME,SUFFIX,ONEWAY,ST_TYPE,ROW,len,Shape_Leng
1220,154.93794407000,,Brandgate,Road,0,Minor,50,0.00000000000,154.93609930100
1221,155.28549318000,,Melton Mowbray,Road,0,Minor,50,0.00000000000,155.28260251400
1222,154.42435300000,,Melton Mowbray,Road,0,Minor,50,0.00000000000,154.42255036100
1223,185.09534969000,East,Quorndon,Drive,0,Minor,60,0.00000000000,185.09520467100
1224,194.70124776000,East,Quorndon,Drive,0,Minor,60,0.00000000000,194.68527467000
1225,162.18902878000,East,Quorndon,Drive,0,Minor,60,0.00000000000,162.18892248300
1226,287.15086659000,East,Quorndon,Drive,0,Minor,60,0.00000000000,287.14928064200
1227,364.52281677000,,Crabb,Road,0,Minor,50,0.00000000000,364.52175533900
1228,132.94737712000,,Waterden,Road,0,Minor,50,0.00000000000,132.94750509400
1229,138.98095519000,,Waterden,Road,0,Minor,50,0.00000000000,138.98075313800
1230,398.93997801000,,Waterden,Road,0,Minor,50,0.00000000000,398.93685000900
1231,193.63327783000,,Burnham Thorpe,Lane,0,Minor,50,0.00000000000,193.62588053400
1232,701.98385703000,,Crabb,Road,0,Minor,50,0.00000000000,701.98176066300
1233,276.69404871000,,Crabb,Road,0,Minor,50,0.00000000000,276.69237948300
1234,137.96198892000,West,Quorndon,Drive,0,Minor,60,0.00000000000,137.96195428100
1235,177.81043298000,West,Quorndon,Drive,0,Minor,60,0.00000000000,177.81061376100
1236,201.95009431000,West,Quorndon,Drive,0,Minor,60,0.00000000000,201.94584956600
1237,379.61881800000,,Fosse,Way,0,Minor,60,0.00000000000,379.61787791500
1238,155.14262075000,,Fosse,Way,0,Minor,60,0.00000000000,155.14275803900
1239,185.02172251000,,Fosse,Way,0,Minor,60,0.00000000000,185.02098049700
1240,318.05242284000,,Branthill,Road,0,Minor,50,0.00000000000,318.05096530400
1241,486.87195164000,,Peterstone,Lane,0,Minor,50,0.00000000000,486.87089367700
1242,134.76966468000,,Peterstone,Lane,0,Minor,50,0.00000000000,134.76675910000
1243,296.50171583000,,Loughborough,Drive,0,Major,60,0.00000000000,296.50006294900
0,0.00000000000,,Medford,Court,0,Minor,0,0.00000000000,0.00000000000
1244,70.07874648000,,Loughborough,Drive,0,Major,60,0.00000000000,70.07835238360
1251,216.43489574000,,Gatesgill,Lane,0,Minor,50,0.00000000000,216.43336575300
1252,592.96794586000,,Glasson,Drive,0,Minor,50,0.00000000000,592.96494182100
1253,102.31598903000,,Glasson,Drive,0,Minor,50,0.00000000000,102.31435993300
1254,163.46717054000,,Glasson,Avenue,0,Minor,50,0.00000000000,163.46206952400
1255,186.26412760000,,Glasson,Avenue,0,Minor,50,0.00000000000,186.24065252400
1256,189.20153206000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,189.20039365900
1257,528.30370325000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,528.30198373800
1260,183.07729417000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,183.07720102500
1261,463.82478797000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,463.82309367800
1262,334.68088280000,,Charnwood Forest,Drive,0,Minor,60,0.00000000000,334.67934140700
1263,164.53981265000,,BosworthField,Drive,0,Minor,60,0.00000000000,164.53645831000
1264,184.30103318000,East,Holkham,Drive,0,Minor,80,0.00000000000,184.29623974000
1265,181.57925664000,West,Holkham,Drive,0,Minor,80,0.00000000000,181.57879116600
1266,570.13836017000,West,Holkham,Drive,0,Minor,80,0.00000000000,570.13591377700
1267,398.47395958000,,Leicester,Avenue,0,Minor,100,0.00000000000,398.47367468600
1268,16.55351479000,,Barns Green,Street,0,Minor,60,0.00000000000,16.55345838180
1269,713.39459853000,,Eccles,Drive,0,Minor,50,0.00000000000,713.39258558000
1270,21.64551584000,,Eccles,Drive,0,Minor,50,0.00000000000,21.64418748280
716,221.37906499000,,Beaumont,Avenue,0,Minor,50,0.00000000000,221.37897398400
717,387.25560492000,,Besson,Street,0,Minor,50,0.00000000000,387.24907849400
718,389.03325631000,,Carlisle,Circle,0,Minor,50,0.00000000000,389.02734334900
719,607.15135124000,,Churchend,Drive,0,Minor,60,0.00000000000,607.14592986300
720,15.83142687000,,Whitecoline,Drive,0,Minor,50,0.00000000000,15.83148948420
721,240.60277317000,,Whitecoline,Drive,0,Minor,50,0.00000000000,240.60145882800
722,20.21828880000,,Chigwell,Avenue,0,Minor,50,0.00000000000,20.21776665230
723,340.84568035000,,Chigwell,Avenue,0,Minor,50,0.00000000000,340.84511874400
724,19.40081794000,,Chigwell,Place,0,Minor,50,0.00000000000,19.40070072940
725,121.03218984000,,Chigwell,Place,0,Minor,50,0.00000000000,121.03230964900
726,17.74377178000,,Chigwell,Place,0,Minor,100,0.00000000000,17.74314605590
727,180.45791495000,,Chigwell,Place,0,Minor,50,0.00000000000,180.45732662900
728,106.32298339000,,Chigwell,Avenue,0,Minor,50,0.00000000000,106.32230367600
729,20.32686717000,,Chigwell,Avenue,0,Minor,50,0.00000000000,20.32675687060
730,306.95315507000,,Chigwell,Avenue,0,Minor,50,0.00000000000,306.95061537900
731,377.32341413000,,Churchend,Drive,0,Minor,60,0.00000000000,377.32203526100
732,222.53060555000,,Churchend,Close,0,Minor,50,0.00000000000,222.52696454100
733,162.52667229000,,Churchend,Drive,0,Minor,60,0.00000000000,162.52633055300
734,23.15251306000,,Portland,Lane,0,Minor,50,0.00000000000,23.15253302060
735,264.93748193000,,Portland,Lane,0,Minor,50,0.00000000000,264.93691670900
736,22.94712193000,,Portland,Lane,0,Minor,50,0.00000000000,22.94709310910
742,135.71980599000,,Shrewsbury,Crescent,0,Minor,50,0.00000000000,135.71931189700
743,122.85622643000,,Shrewsbury,Crescent,0,Minor,50,0.00000000000,122.85342848500
744,21.24932045000,,Barnstaple,Crescent,0,Minor,50,0.00000000000,21.24887167420
748,59.63063943000,,Belfast,Lane,0,Minor,50,0.00000000000,59.63061124610
749,210.86372279000,,Belfast,Lane,0,Minor,50,0.00000000000,210.86174717600
750,194.24787664000,,Brecon,Lane,0,Minor,60,0.00000000000,194.24716527900
751,206.69794159000,,Brecon,Lane,0,Minor,60,0.00000000000,206.69713000700
752,23.57960519000,,Thirlmere,Close,0,Minor,50,0.00000000000,23.57964362500
757,129.98432724000,,Todhills,Lane,0,Minor,50,0.00000000000,129.97338424500
758,223.28936222000,,Scotforth,Avenue,0,Minor,50,0.00000000000,223.28830992000
759,25.16802875000,,Tindale,Drive,0,Minor,50,0.00000000000,25.16786145540
760,344.49383829000,,Tindale,Drive,0,Minor,50,0.00000000000,344.49166435800
761,41.55979428000,,Tindale,Drive,0,Minor,50,0.00000000000,41.55957455580
762,8.76876165000,,Arnside,Road,0,Minor,50,0.00000000000,8.76465918006
763,48.69615051000,,Arnside,Road,0,Minor,50,0.00000000000,48.69604132920
764,174.31342278000,,Arnside,Avenue,0,Minor,50,0.00000000000,174.31200833700
