Id,Region,Subdiv,Shape_Leng,Shape_Area
0,FCI,Poinciana Gardens,2381.83275631000,269237.98234200000
0,FCI,Mayfield Park,2352.55029456000,220965.48753700001
0,FCI,Gardens at Sunrise,2212.93269132000,281048.07640100003
0,DEVCO,Fortune Bay,5382.16135810000,1505517.72132000001
0,DEVCO,Fortune Bay,6005.63506860000,1504292.95228999993
0,FCI,Hawksbill,5521.87409936000,1437438.30062999995
0,FCI,Bahamia West,8421.11326811000,2618152.95273000002
0,DEVCO,Lincoln Green,8736.95640179000,3659336.96864000009
0,DEVCO,Sentinel Bay,3677.66363745000,623640.72466800001
0,DEVCO,Royal Palm Bay,2270.65529745000,255996.11339499999
0,DEVCO,Discovery Bay,5841.31338020000,1768943.28881000006
0,DEVCO,Pearl Bay,3166.06689111000,550060.18126099999
0,FCI,Freeport Ridge,6269.91410214000,1611330.31611000001
